ID,PROBA_OF_DEFAULT
19780,0.21927392482757568
19781,0.004210196901112795
19782,0.01913430355489254
19783,0.0010431230766698718
19784,0.044006794691085815
19785,0.2557670474052429
19786,0.16843393445014954
19787,0.008308663964271545
19788,0.01314586866647005
19789,0.028142958879470825
19790,0.0005721101770177484
19791,0.05077114328742027
19792,0.004780883900821209
19793,0.0057703652419149876
19794,0.003528858534991741
19795,0.010001221671700478
19796,0.029238129034638405
19797,0.021125828847289085
19798,0.06859002262353897
19799,0.004950596950948238
19800,0.014125089161098003
19801,0.013008931651711464
19802,0.0022633818443864584
19803,0.005883580539375544
19804,0.19812586903572083
19805,0.005784119479358196
19806,0.28725191950798035
19807,0.027211686596274376
19808,0.011244969442486763
19809,0.020040951669216156
19810,0.025464840233325958
19811,0.09836817532777786
19812,0.004390602000057697
19813,0.2550194263458252
19814,0.2815541625022888
19815,7.144224218791351e-05
19816,0.22429145872592926
19817,0.05522412434220314
19818,0.47570130228996277
19819,0.029949363321065903
19820,0.0811246857047081
19821,0.05771150439977646
19822,0.03815130889415741
19823,0.0444231815636158
19824,0.009121757000684738
19825,0.015303867869079113
19826,0.002292095683515072
19827,0.020217059180140495
19828,0.009725531563162804
19829,0.04432854801416397
19830,0.09503435343503952
19831,0.03728754073381424
19832,0.004686620086431503
19833,0.22336260974407196
19834,0.05933468043804169
19835,0.0034669339656829834
19836,0.012669458985328674
19837,0.009711910970509052
19838,0.09263197332620621
19839,0.0041897655464708805
19840,0.4907733201980591
19841,0.006172337103635073
19842,0.0012336804065853357
19843,0.012699275277554989
19844,0.11068760603666306
19845,0.0606168657541275
19846,0.14180724322795868
19847,0.004088504705578089
19848,0.6116150617599487
19849,0.02198963426053524
19850,0.07743961364030838
19851,0.0008888007141649723
19852,0.0006792910862714052
19853,0.012674356810748577
19854,0.11967242509126663
19855,0.16623321175575256
19856,0.10536199808120728
19857,0.236487478017807
19858,0.003503704909235239
19859,0.00439641484990716
19860,0.058348461985588074
19861,0.10950246453285217
19862,0.02261592075228691
19863,0.11297626793384552
19864,0.01748696342110634
19865,0.0022870393004268408
19866,0.01680348999798298
19867,0.265395849943161
19868,0.1183846965432167
19869,0.45599812269210815
19870,0.0032230662181973457
19871,0.0013851355761289597
19872,0.014697562903165817
19873,0.040635306388139725
19874,0.08788255602121353
19875,0.016845466569066048
19876,0.012997940182685852
19877,0.02603856474161148
19878,0.02485288493335247
19879,0.03575039654970169
19880,0.1301911324262619
19881,0.0024758761283010244
19882,0.08274330943822861
19883,0.0006488341023214161
19884,0.005477549508213997
19885,0.024896342307329178
19886,0.09725561738014221
19887,0.011699056252837181
19888,0.02533143013715744
19889,0.010865090414881706
19890,0.0811745673418045
19891,0.29611971974372864
19892,0.019033178687095642
19893,0.019991597160696983
19894,0.0023052250035107136
19895,0.0020629907958209515
19896,0.3723728358745575
19897,0.024767262861132622
19898,0.061027176678180695
19899,0.16264796257019043
19900,0.23231282830238342
19901,0.017862845212221146
19902,0.0020650543738156557
19903,0.0021372155752032995
19904,0.025023695081472397
19905,0.00016169744776561856
19906,0.0015960991149768233
19907,0.0011488780146464705
19908,0.0004796018183697015
19909,0.0031658001244068146
19910,0.060411419719457626
19911,0.021574312821030617
19912,0.014514516107738018
19913,0.007635016925632954
19914,0.015215541236102581
19915,0.0011009402805939317
19916,0.019647305831313133
19917,0.0400988906621933
19918,0.0610448382794857
19919,0.0036715895403176546
19920,0.0023690422531217337
19921,0.252101868391037
19922,0.18005596101284027
19923,0.02636837586760521
19924,0.3260002136230469
19925,0.03399728611111641
19926,0.021080564707517624
19927,0.6579980850219727
19928,0.007258416153490543
19929,0.006185352336615324
19930,0.03801538050174713
19931,0.0148827088996768
19932,0.07006116956472397
19933,0.04518596827983856
19934,0.002792871557176113
19935,0.015566516667604446
19936,0.07344084233045578
19937,0.0034150274004787207
19938,0.0018146036891266704
19939,0.10263223201036453
19940,0.06766415387392044
19941,0.18086475133895874
19942,0.0011473316699266434
19943,0.009077360853552818
19944,0.017283791676163673
19945,0.04596268758177757
19946,0.05423938110470772
19947,0.13972097635269165
19948,0.010005651041865349
19949,0.0034253201447427273
19950,0.10316869616508484
19951,0.0015235983300954103
19952,0.004682149272412062
19953,0.0079425610601902
19954,0.14605513215065002
19955,0.00429041963070631
19956,0.0032826398964971304
19957,0.0572039894759655
19958,0.004369018599390984
19959,0.1506318300962448
19960,0.25630635023117065
19961,0.08829260617494583
19962,0.005544064566493034
19963,0.01740269921720028
19964,0.009481350891292095
19965,0.21219104528427124
19966,0.004060806706547737
19967,0.11182563751935959
19968,0.0016827197978273034
19969,0.0026797084137797356
19970,0.04898388683795929
